DATE,MEAN_TEMP,MEDIAN_TEMP,VAR_TEMP,TOTAL_PRCP,MEAN_PRCP,MEDIAN_PRCP,VAR_PRCP,MIN_PRCP,MAX_PRCP,MIN,MAX
1972-06-30,69.95686992674719,70.0,80.60060768508917,176.68,0.017489606018610177,0.0,0.029068184972639514,0.0,5.51,26.1,117.0
1972-07-31,74.2788163187129,75.2,70.03299244992817,114.22,0.010938517525378279,0.0,0.010230399629178304,0.0,3.54,30.0,118.9
1972-08-31,73.58959460742427,74.2,63.92295096553126,104.14,0.009887021741194341,0.0,0.008618112946816536,0.0,2.87,32.9,118.9
1972-09-30,67.42147742818058,68.0,115.75174819322561,113.27,0.011068008598788353,0.0,0.013890240072902864,0.0,7.28,19.0,108.0
1972-10-31,55.71116910229645,55.7,165.6375814175443,111.79,0.010608274814955401,0.0,0.015675372587874797,0.0,6.56,-5.1,105.1
1972-11-30,44.606897899364924,43.4,174.87929187104825,174.69,0.01706790425012213,0.0,0.019710739476895254,0.0,3.35,-9.0,89.1
1972-12-31,36.55042579657449,37.8,346.8713383354278,132.69,0.012696392689694766,0.0,0.010302221593684583,0.0,2.83,-36.0,90.0
1973-01-31,34.290350348627015,35.5,291.2433803877303,3175.45,0.13667254885082206,0.0,0.25733629986448886,0.0,11.81,-45.4,91.9
1973-02-28,37.13415052125482,37.0,238.90210418052175,3490.02,0.16613604988813252,0.0,0.31788654970815167,0.0,12.2,-45.4,89.6
1973-03-31,48.00359721450848,47.3,165.95601115587942,4644.79,0.19843593796727474,0.0,0.47842923351657485,0.0,13.78,-45.4,95.0
1973-04-30,52.69051766058087,52.9,160.24792201760505,4623.12,0.2043729278104416,0.0,0.6013231224571599,0.0,14.17,-24.0,104.0
1973-05-31,61.83503411577909,61.6,121.81288636803077,3622.46,0.1554503711968416,0.0,0.5341947235582509,0.0,14.17,-8.9,110.8
1973-06-30,71.33425616334537,72.8,93.54430929844386,2195.4,0.09787347866791495,0.0,0.12301452362605643,0.0,18.03,6.1,120.9
1973-07-31,74.6511712873415,75.8,75.58478553053718,2066.96,0.08884418654631421,0.0,0.09712384027580075,0.0,8.03,18.0,119.8
1973-08-31,73.92654636976367,75.4,73.24810162510603,1701.99,0.07260429997440492,0.0,0.08916555213030843,0.0,14.61,12.9,115.0
1973-09-30,66.90392445097777,67.3,123.1261450577266,2279.07,0.10152211679807564,0.0,0.1281426447464815,0.0,7.76,2.1,111.9
1973-10-31,58.79215948275863,59.1,135.29343091555336,1610.51,0.06941853448275861,0.0,0.07611205034829852,0.0,7.2,-13.0,104.0
